"aspectId","aspectName","aspectDescription","relationType","memberAspects","dataType","scoreMethod","choice","score","criteria","depth","level","parentAspectId"
"C326","Category 326","Category 1. >","contains","C327","Float","mean","","","","1","1",""
"C327","Category 327","Public Access to Information. Public Access to Information","contains","C328|C329","Float","mean","","","","2","2","C326"
"C328","Category 328","1.1. Do citizens have a legal right of access to information?","contains","Q1048|Q1049|Q1050|Q1051","Float","mean","","","","3","3","C327"
"Q1048","GI.SAP11.1","1. In law, citizens have a right of access to government information and basic government records.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a formal right to access government documents, including constitutional guarantees. Exceptions can be made for national security reasons or individual privacy, but they should be limited in scope. All other government documents should be available upon a public request.","4","4","C328"
"Q1048","GI.SAP11.1","1. In law, citizens have a right of access to government information and basic government records.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such right.","4","4","C328"
"Q1049","GI.SAP11.2","2. In law, citizens have a right of appeal if access to a basic government record is denied.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a formal process of appeal for rejected information requests.  A YES score can still be earned if the appeals process involves redress through the courts rather than administrative appeal.","5","4","C328"
"Q1049","GI.SAP11.2","2. In law, citizens have a right of appeal if access to a basic government record is denied.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such formal process.","5","4","C328"
"Q1050","GI.SAP11.3","3. In law, there is an established institutional mechanism through which citizens can request government records.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a formal government mechanism/institution through which citizens can access government records available under freedom of information laws.  This mechanism could be a government office (or offices within agencies) or an electronic request system.","6","4","C328"
"Q1050","GI.SAP11.3","3. In law, there is an established institutional mechanism through which citizens can request government records.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such formal mechanism or institution.","6","4","C328"
"Q1051","GI.SAP11.4","4. In law, there is an agency or entity that monitors the application of access to information laws and regulations.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is an agency or set of agencies/entities formally assigned to monitor and enforce laws and regulations around requests for information.  ","7","4","C328"
"Q1051","GI.SAP11.4","4. In law, there is an agency or entity that monitors the application of access to information laws and regulations.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such agency or entity. ","7","4","C328"
"C329","Category 329","1.2. Is the right of access to information effective?","contains","Q1052|Q1053|Q1054|Q1055|Q1056|Q1057|Q1058|Q1059|Q1060","Float","mean","","","","8","3","C327"
"Q1052","GI.SAP11.5","5. In practice, state agencies and government officials are not exempt from access to information laws.","self","","SingleChoice","raw","100","100.0","No state agencies and/or government officials are exempt from coverage under the state's access to information laws.","9","4","C329"
"Q1052","GI.SAP11.5","5. In practice, state agencies and government officials are not exempt from access to information laws.","self","","SingleChoice","raw","75","75.0",,"9","4","C329"
"Q1052","GI.SAP11.5","5. In practice, state agencies and government officials are not exempt from access to information laws.","self","","SingleChoice","raw","50","50.0","Some agencies and/or government officials may be exempt from access to information laws, including key offices.","9","4","C329"
"Q1052","GI.SAP11.5","5. In practice, state agencies and government officials are not exempt from access to information laws.","self","","SingleChoice","raw","25","25.0",,"9","4","C329"
"Q1052","GI.SAP11.5","5. In practice, state agencies and government officials are not exempt from access to information laws.","self","","SingleChoice","raw","0","0.0","Exemptions are common and consistently make it difficult for citizens to access information under state freedom of information laws.","9","4","C329"
"Q1053","GI.SAP11.6","6. In practice, citizens receive responses to access to information requests within a reasonable time period.","self","","SingleChoice","raw","100","100.0","Records are readily available or accessible online.  Records are uniformly available; there are no delays for politically sensitive information. Rare exceptions are allowed for sensitive national security-related information for cases as defined in law. ","10","4","C329"
"Q1053","GI.SAP11.6","6. In practice, citizens receive responses to access to information requests within a reasonable time period.","self","","SingleChoice","raw","75","75.0",,"10","4","C329"
"Q1053","GI.SAP11.6","6. In practice, citizens receive responses to access to information requests within a reasonable time period.","self","","SingleChoice","raw","50","50.0","Records may take up to one month to obtain. Some additional delays may be experienced.  Politically-sensitive information may be withheld without sufficient justification.","10","4","C329"
